12b-1 fees
401(k) plan
403(b) plan
529 account beneficiary
529 account owner
529 education savings plan
529 plan offering circular
529 plan or program manager
529 plan sponsor
529 plans
8-k
account fee
accredited investors
accrued interest
acquired fund fees and expenses (affe)
active fund or actively managed fund
advance fee fraud
affinity fraud
after-hours trading
all-or-none order
alternative mutual fund (alt fund)
alternative trading systems (atss)
american depositary receipts (adrs)
annual meeting
annual report
annual report (10k)
annual return
annuities
arbitration and mediation
arbitration, challenging a decision, sec role
arbitration, how to find a lawyer specializing in securities
asset
asset allocation
asset classes
authorized participants
back-end sales load
balanced fund
banking regulators
bankruptcy
bankruptcy for a public company
basis point
bear market
beneficial owner
bid price
bid price/ask price
binary options
blank check company
blue sky laws
board of directors
boiler room schemes
bond funds and income funds
bond swap
bonds
bonds, corporate
bonds, municipal
bonds, selling before maturity
bonos rescatables o redimibles
bonus credits for annuities
breakpoint discounts or sales charge discounts
broker
broker vote
broker-dealers: record-keeping requirements
broker-dealers: why they ask for personal information
bull market
business development companies (bdcs)
buying long
callable bonds (or redeemable bonds)
callable cds
callable or redeemable bonds
capital gain
caregivers - tips for protecting older investors from financial frauds and scams
cash
cash account
cd call period
central registration depository (crd)
certificate of deposit
churning
class actions
clean shares
closed-end funds
closing price
collective investment trust (cit)
comment letters
commissions
committee on uniform securities identification procedures (cusip)
commodity futures trading commission (cftc)
complaints
compound interest
consolidated tape
contact the sec
contingent deferred sales load (cdsl)
conversation starters
conversion
convertible securities
copy trading
corporate governance
corporate reports
coupon
coupon payment
coupon rate
creation unit
credit rating agencies
crowdfunding reglamentado
cumulative voting
current yield
cusip number
data tagging
day order
day trade
day trading
debentures
default
deferred annuity
deferred sales charge
defined benefit plan
defined contribution plan
derivatives
direct investment plans: buying stock directly from the company
disaster-related investment scams
disclosure
discount
discount note
distribution fees
distribution [and/or service] (12b-1) fees
diversification
dividend
dollar cost averaging
dtc chills and freezes
early withdrawal
earnings per share
edgar
education savings plan
employee retirement income security act (erisa)
employee stock option plans
employee stock ownership plans esops
enrollment fee
environmental, social and governance (esg) investing
escheatment by financial institutions
ex-dividend dates: when are you entitled to stock and cash dividends
exchange fee
exchange-traded fund (etf)
exchange-traded products (etps)
executing an order
executive compensation
exempt reporting adviser (era)
expense ratio
expense reimbursement
fair disclosure, regulation fd
