abdomen
abduction
abnormal
ache
achilles tendon
acne
acquired immune deficiency syndrome (aids)
acute
addict
adduction
adhesive
adolescence
adrenal gland
adrenaline
aggravate
airborne allergens
airway
alcohol consumption
alcohol poisoning
alcohol swab
alcoholism
alkaline
allergy
alleviate
alveoli
amnesia
anabolism
anal
anatomy
anemia
anesthesia
anesthesiologist
anesthetic
aneurysm
ankle
anorexia
anterior
anti-inflammatory
antibiotic
antibodies
anticoagulants
antidiuretic hormone
antifungal
antimicrobial
antiseptic
anus
aorta
appendix
appetite
arch
armpit
arrhythmia
artery
arthritis
artificial insemination
aspirin
asthma
atria
audiologist
autonomy
backache
backbone
bacteria
bandage
baseline
be allergic to
be diagnosed with
behavioral
belly
belly button
benign tumor
bereavement
bile
binge
biopsy
bird flu
blackouts
bladder
blame oneself
bleeding
blister
bloated
blocked sinuses
blood circulation
blood clot
blood pressure
blunt trauma
blush
body cavities
body mass index (bmi)
bone marrow
bone tumor
bowel movement
brain tumor
breastbone
breathlessness
bronchitis
bruise
bulimia
bump
burning sensation
buttock
c-section
calf
calorie
canal
capsule
carbohydrate
carbon dioxide
carcinogen
carcinoma
cardiac
cardiology
cardiopulmonary resuscitation
carpal tunnel syndrome
cartilage
cataract
cavity
cerebellum
cerebral
cervical
cervix
check-up
cheekbone
chemist
chemotherapy
chest x-ray
chew
chickenpox
chills
chin
choking
chronic
circulatory
circumcision
cirrhosis
clavicle
clitoris
clog up
cold sore
colic
collarbone
colon
colonoscopy
coma
comatose
complications
condom
constipation
contagious
contaminant
contraception
convulsion
cornea
coronary artery
cramp
cranial
cravings
crutches
ctscan
cure
dairy
decay
dehydrate
deltoid
dementia
dental
dermatology
detox
diabetes
diagnose
diaphragm
diarrhea
diastolic pressure
digestive system
dilation
disability
discharge
discomfort
disinfect
dislocate
distend
dizziness
dosage
drainage
dribble
droop
drowsy
dull ache
dwarfism
earache
eardrum
ecg (electrocardiogram)
ejaculation
ejaculatory duct
elbow
embryo
enamel
endocrine
endoscopy
enema
ent (ear, nose, throat doctor)
enzymes
epidemic
epilepsy
equilibrium
esophagus
estrogen
excision biopsy
excrete
excruciating
exhale
external organs
extremities
eyebrow
eyedrops
eyelid
eyesight
facial
fahrenheit
faint
fallopian tubes
fat-free
fatal
fatigue
feminine
femur
fertilize
fetus
fever
fiber
fist
flex
flu (influenza)
fluid
forearm
forehead
foreskin
fracture
fraternal twins
frequency
frontal lobes
gait
gallbladder
gargle
gauze
general anesthetic
general practitioner
genitals
geriatric
germ
german measles
gland
glucose
gout
grimace
grip
groin
gum
hair follicle
hairline
hallucination
hamstring
harmful
hay fever
hazardous materials
headache
heal
heartburn
heavy smoker
heel
hereditary
high-fiber
hip
hiv / aids
hives
hoarseness
holistic
hospice
hospitalization
hot flushes
hygiene
hymen
hypertension
hysteria
icu (intensive care unit)
identical twins
immune system
immunisations
immunity
impairment
impulse
incision
incurable
indigestion
infected
inflammation
inhale
injection
inoculation
inpatient
insertion
insomnia
instep
instinct
institutionalise
insulin
intercourse
internist
intestinal parasites
intestine
invasive
iodine
iris
iron deficient
irregular bowel movements
irritate
isolation
itch
jaw
jawbone
kidney
kidney stone
kneecap
knuckle
large intestine
larynx
lean back / forward
left-handed
lesion
lethal
lethargy
leukemia
lifestyle change
lifetime
ligament
light-headed
liver
lobe
localized pain
lotion
low-calorie
low-fat diet
lumbar
lump
lung
lymph node
malaria
malformation
mammogram
manageable
manic depressive psychosis
marrow
maternal
maternity
measles
medication
menopause
menstrual
menstruate
metabolism
midwife
migraine
miscarriage
mole
moody
mri (magnetic resonance imaging)
mucus
mumps
muscle relaxant
muscular
muscular dystrophy
myopia
nagging pain
narcotic addiction
nasal bleeding
nausea
nauseous
navel
neurology
night sweats
nose bleed
nostril
numbness
nutrition
obese
obstetrician
obstetrics and gynecology
occupational therapy
oedema
oesophagus
ointment
on the pill
oncology
ophthalmology
optic nerve
oral
oral cavity
organ
orthodontics
orthopedics
outpatient
ovary
over-the-counter
overweight
overwhelmed
ovulation
ovum
oxygen
pacemaker
painful
painkiller
palm
palpation
pancreas
paralyzation
parkinson's disease
pediatrics
pee
pelvis
penicillin
penis
persevere
persistent
pharmaceutical
pharmacist
pharmacy
phlegm
physical therapist
physician
physiotherapy
pigment
pill
pins and needles
placenta
pneumonia
poisonous
polio
posterior
posture
premature birth
premenstrual cycle
prescription
prescription drug
press up / down
prevention
probe
prognosis
progressive
prone to
pros and cons
prostate
protective
psychiatry
psychology
psychosomatic diseases
puberty
pubic bone
pulmonary
pulse
pus
put it in plaster
quarantine
queasy
quit
radial nerve
radiating pain
radiation therapy
radiology
rash
realistic
reassure
recreational drug
rectum
recur
reflex
regain use of
rehabilitation
rejuvenate
relieve
remedy
renal
reproductive system
respiration
resuscitation
retina
rheumatic fever
rheumatic pain
rib
rib cage
rickets
roseola
rotate
rubbing alcohol
rubella
run its / their course
runny nose
rupture
sac
saliva
salivary glands
sanitary
saturated fats
scalp
scar
schizophrenia
sciatic nerve
scrape
scratch
scrotum
scrub
sedentary
seizure
self-esteem
senility
sepsis
serum
shin
shinbone
shingles
shivering
shortness of breath
shoulder blade
sinus
skeletal-muscular system
skin graft
skull
slight fever
sling
small intestine
smallpox
sneeze
sore
sound asleep
spasm
sperm
sphincter
spinal cord
spinal nerves
spleen
splint
splinter
sprain
stabbing pain
stabilize
stammering
sterilization
sternum
steroid
stethoscope
stiff
stillborn
stimulation
sting
stitches
stomach bug
stomach cramps
stomach ulcer
stomachache
stool
stressful
stroke
suicide
superior vena cava
surgical
susceptible to
suture
swab
sweat
swell
syndrome
syringe
systolic blood pressure
tablet
tailbone
tartar
taste buds
tenderness
tendon
tense
testicle
testis
testosterone
tetanus
therapeutic
therapist
thermometer
thigh
thigh bone
throbbing pain
thumb
thumping
thyroid gland
tibia
tightness
tingling
to be discharged
toe
tonsil
tonsillitis
toothache
torso
tourniquet
toxic
trachea
transfusion
transmit
traumatic
tremble
tremor
triceps
tubal pregnancy
tuberculosis
tumor
twitch
ulcer
unbearable pain
underweight
unwell
up the dose
uptight
urea
urinate
urine sample
urology
uterus
vaccine
vagina
valve
vas deferens
vascular
vasectomy
vein
ventilator
ventricle
vertebrae
vertigo
vitamins
vocal cords
vomit
vulnerable
waist
ward
wart
wheelchair
wheeze
whiplash
whooping cough
willpower
windpipe
wisdom tooth
withdrawal symptoms
worsen
wrist
x-ray
zinc
