a few
a.m.
about
above
active
afraid
after
afternoon
again
ago
alaska
all
also
always
am
amazing
american
an
and
angry
animal
answer
ant
any
anything
apple
april
are
aren't
arm
art
art room
ask
at
ate
attention
august
aunt
autumn
baby
baby brother
back
bad
badminton
bag
ball
bamboo
banana
basket
basketball
bathroom
be
be careful
beach
bear
beautiful
because
become
bed
bedroom
beef
before
begin
behind
beside
best
better
between
bicycle
big
bigger
bike
bird
birthday
black
blackboard
blue
boat
boating
body
book
bookstore
both
bottle
bought
bowl
box
boy
bread
breakfast
breath
bridge
bring
broken
brother
brown
building
bunny
bus
businessman
busy
but
buy
by
bye
cake
call
camp
can
canada
canadian
canberra
candy
cap
car
card
carrot
cartoon
cat
cave
chair
chase
cheap
cheetah
chicken
child
children
china
chinese
chinese book
chocolate
chopsticks
christmas
cinema
city
class
classroom
clean
clean my room
cleaned
clever
climbing
clock
close
clothes
cloudy
club
coach
coat
cold
color
colour
come
come on
comic
comic book
computer
computer room
contest
cook
cooking
cool
could
count
count to ten
country
countryside
cousin
cow
crayon
crossing
cry
cute
cycling
dad
dance
dancing
day
dear
december
deep
degree
delicious
desk
diary
dictionary
different
difficult
dining hall
dinner
dinosaur
dirty
do
do homework
do kung fu
do morning exercise
doctor
dog
doing morning exercises
dollar
door
down
drank
draw
draw cartoons
dream
dress
drink
drinking
driver
duck
each
each other
ear
early
easter
easy
eat
eat breakfast
eat dinner
eating
eating lunch
egg
eight
eighteen
eighty
elephant
eleven
else
email
english
english book
english class
enjoy
eraser
evening
every
everyone
everywhere
excited
exercise
exhibition
expensive
eye
face
factory
fall
family
fan
far
farm
farmer
fast
faster
fat
father
favorite
favourite
feature
february
feel
feet
fell
felt
ferry
few
fifteen
fifth
film
find
fine
finish
first
first floor
fish
fisherman
five
fixed
floor
flower
fly
follow
food
fool
foot
football
football player
for
forest
fork
forty
four
fourteen
fourth
fresh
friday
fridge
friend
friendly
from
front
fruit
funny
fur
game
garden
gave
germany
get
get together
get up
gift
giraffe
girl
give
glasses
glove
go
go boating
go cycling
go for a walk
go home
go on a picnic
go shopping
go swimming
go swimming.
go to bed
go to school
goal
goat
good
good job
goodbye
gps
grandfather
grandma
grandmother
grandpa
grandparent
grape
grass
great
green
green beans
gym
had
had a cold
hair
half
hall
hamburger
hand
happy
hard-working
has
hat
have
have a look
have...class
having...class
he
head
head teacher
healthy
hear
heavier
heavy
hello
helmet
help
help yourself
helpful
hen
her
here
hers
hi
high
hiking
hill
him
his
hobby
holiday
home
homework
horse
hospital
hot
hotel
hour
house
house.
how
how about...
how much
hungry
hurry up
hurt
ice
ice cream
ice-skate
idea
if
ill
in
in front of
interesting
internet
is
island
it
italian
its
jacket
january
jasmine
job
join
juice
july
jump
jumping
june
just
just a minute
keep
keep to the right
keep your desk clean
key
kid
kilogram
kind
kitchen
kite
kitten
knife
know
kung fu
labour day
lake
lamp
last
late
laughed
leaf
learn
left
leg
lesson
let
letter
library
licked
light
like
listen
listening to music
little
live
living room
london
long
longer
look
look for
look up
lost
lot
lots of
loud
love
lovely
lower
lunch
magazine
make
make a snowman
man
many
map
march
math
maths
maths book
may
me
meet
men
meter
metre
mice
mid-autumn festival
milk
mine
minute
miss
mom
monday
monkey
month
moon
mooncake
more
morning
moscow
mother
mountain
mouse
mouth
move
mr
mrs
ms
much
mud
mule
mum
munich
museum
music
music class
music room
must
my
name
national
national day
nature
near
need
new
new york
next
next to
next week
nice
night
nine
nineteen
no
no problem
noise
noodle
noodles
nose
not
notebook
nothing
november
now
nurse
o'clock
october
of
of course
off
often
ok
old
older
on
on foot
one
onion
open
or
orange
other
our
ours
outside
over
p.m.
pack
paint
panda
pants
papa westray
parent
parents
park
part
party
pass
pay attention to
pe
pe class
pear
pen
pen pal
pencil
pencil box
people
phone
photo
physical
pick
pick apples
picnic
picture
pig
pilot
ping-pong
pink
pizza
place
plane
plant
plate
play
play basketball
play football
play ping-pong
play sports
play the pipa
playground
playing
please
poem
police
police officer
polite
post card
post office
postman
potato
pretty
price
problem
pull
pupil
puppy
put
puzzle
quickly
quiet
rabbit
race
rain
rainy
read
read books
reading a book
ready
really
red
reporter
restaurant
rice
right
river
robot
rode
roll
room
rsvp
ruler
run
sad
salad
sale
sandwich
