absorb
abundant
acid
acute
adhere
adverse
alcohol
algae
align
altitude
aluminium
amino
ammonia
anatomy
ancestor
anion
anomaly
apical
apparatus
aquatic
arc
array
atmosphere
atom
axial
bacterium
barrier
basal
breakdown
buffer
calcium
calibrate
capsule
capture
carbohydrate
carbon
cavity
cell
chamber
chloride
chronic
circuit
circulate
climate
cluster
coefficient
coil
column
compact
compartment
compress
condense
cone
configure
conserve
contaminate
contraction
converge
convey
cord
correlate
cortex
counter
cube
cumulative
cylinder
dam
debris
decompose
defect
defense
deficiency
degrade
dense
dependence
deposit
designate
diagnose
diagram
diameter
differential
diffuse
digest
digit
dilute
disc
discharge
disorder
disperse
dissolve
distal
diverge
drain
drill
drug
electrode
electron
elevate
elongate
embed
embryo
emit
engage
enlarge
entitle
enzyme
equilibrium
evaporate
exert
exotic
exponential
extinct
feedback
fertile
fibre
filament
filter
flora
fluid
flux
fraction
fracture
fragment
fuel
fungus
fuse
generic
genus
gland
gradient
graph
grasp
gravity
grid
hazard
height
hemisphere
homogeneous
horizontal
hormone
humid
hybrid
hydrogen
impair
incubate
indent
infant
infect
inferior
infrared
inherit
inject
inlet
insulate
insulin
interface
interior
intersect
intestine
invade
ion
junction
kidney
laboratory
lactate
latent
lateral
latitude
linear
lipid
liver
longitudinal
loop
magnesium
magnet
magnitude
marine
median
membrane
mesh
metabolic
microbe
microscope
mobile
module
moisture
molecule
morphology
mortal
muscle
nerve
nitrate
nitrogen
node
nucleus
nutrient
onset
optimum
orbit
organic
organism
osmotic
overview
oxide
oxygen
parasite
partition
pathway
peak
penetrate
periphery
permeable
perpendicular
phosphate
phosphorus
photosynthesis
physiological
pigment
plasma
plot
plunge
polar
pollen
pore
potassium
precipitate
profile
propagate
propel
protein
proton
proximal
pulse
purify
radial
radiate
radius
recall
recreation
recycle
replicate
resemble
reservoir
respiration
rotate
routine
rupture
saline
saturate
secrete
segment
serum
session
shaft
sheath
simultaneous
skeletal
sketch
sodium
solar
soluble
solute
span
spatial
species
specimen
spine
starch
static
sterile
stimulate
strain
substrate
subtract
superficial
superior
susceptible
switch
symmetry
symptom
synthesis
synthetic
temperate
temporal
terminology
terrestrial
texture
thermal
tilt
tissue
toxic
tract
transient
transverse
tutorial
uptake
urea
urine
vacuum
vapour
vector
vegetation
vein
ventilate
verify
versus
vertical
viable
vibrate
virus
viscous
vital
vitamin
volt
wavelength
web
zinc
zone
